MATCHSTATE:0:331:cc/cc/crf:8cAc|/9c4s5c/8d
MATCHSTATE:1:332:crc/rrc/rf:|6h7d/2s8h3h/8c
MATCHSTATE:0:333:crrc/crrrc/crc/cc:8cKh|3h9s/6d9h4h/Tc/2h
MATCHSTATE:1:334:rrf:|8c8h
MATCHSTATE:0:335:cc/rc/crf:7h3d|/9dQsAc/Jd
MATCHSTATE:1:336:f:|8cQs
MATCHSTATE:0:337:rf:AdKc|
MATCHSTATE:1:338:f:|6c3s
MATCHSTATE:0:339:rc/cc/crf:3d4d|/9h7d8s/2d
MATCHSTATE:1:340:f:|4c2d
MATCHSTATE:0:341:cc/crf:7dQh|/Qs9c4d
MATCHSTATE:1:342:cc/crrf:|7cJs/4d2c6h
MATCHSTATE:0:343:crc/rrf:4cKd|/7hQdKh
MATCHSTATE:1:344:cc/cc/rrc/rrc:3sJh|9cTs/QsAd2d/9h/Th
MATCHSTATE:0:345:crc/crc/crc/crrc:8dTh|Td7h/3cJc5c/6h/Qh
MATCHSTATE:1:346:crf:|JdQc
MATCHSTATE:0:347:cc/rc/cc/rrrrc:6s3c|JdQc/7sTsKh/8s/8c
MATCHSTATE:1:348:f:|3c8d
MATCHSTATE:0:349:rc/cc/crrrc/cc:Ts8d|AdTd/6c6s9h/6h/Ah
MATCHSTATE:1:350:f:|Ks4h
MATCHSTATE:0:351:cc/rc/cc/cc:Jd2c|Td6s/3h5c8h/7h/As
MATCHSTATE:1:352:f:|5sAc
MATCHSTATE:0:353:rf:8s6h|
MATCHSTATE:1:354:rc/cc/rrc/cc:As8s|2s2d/5s3sJd/8c/Qs
MATCHSTATE:0:355:cc/cc/rrf:8c9s|/3hQh2c/Td
MATCHSTATE:1:356:rrc/rc/rrc/crc:7c5d|2dJd/6cKdTc/8c/6d
MATCHSTATE:0:357:rc/rc/crrc/rrf:5h4c|/4d3c3s/Kd/6c
MATCHSTATE:1:358:f:|Jh7c
MATCHSTATE:0:359:rf:7d5s|
MATCHSTATE:1:360:f:|9c3c
MATCHSTATE:0:361:f:8cJc|
MATCHSTATE:1:362:f:|7s8s
MATCHSTATE:0:363:cc/crc/rc/cc:Td2h|9d3h/5cJsAh/Tc/9c
MATCHSTATE:1:364:crf:|9dAd
MATCHSTATE:0:365:rf:TcJd|
MATCHSTATE:1:366:rrc/rc/rc/rf:|2c5d/Qs8h6s/7h/2s
MATCHSTATE:0:367:rrc/crc/rc/crrc:3h8c|9s8s/3dKd6s/Kc/2s
MATCHSTATE:1:368:rc/cc/crc/cc:6d3d|TdQh/4h9cJh/Ac/4d
MATCHSTATE:0:369:rrc/rf:2sKd|/Qd2d6s
MATCHSTATE:1:370:crrrc/rrc/crrf:|7dJc/2s4c9s/4d
MATCHSTATE:0:371:rrc/rc/crf:6h9c|/6cJs7s/5c
MATCHSTATE:1:372:cc/rc/cc/cc:6dJc|Ah8d/8c9h3s/2d/Qc
MATCHSTATE:0:373:cc/cc/rrrc/crc:Qs2c|7cTc/6hKsKh/9s/Td
MATCHSTATE:1:374:rc/cc/crrc/crrc:As7h|8dAh/6dThTc/Jc/Qc
MATCHSTATE:0:375:rrrc/cc/rrf:6s6d|/Tc3hKd/5d
MATCHSTATE:1:376:crrc/cc/crc/cc:9s8c|Ac6s/7s8sQc/3d/5c
